family_size,milk_packets,deliveries,food_waste,old_devices,batteries
6,3,14,250g_500g,0,9
4,1,8,500g_1kg,3,7
4,3,26,500g_1kg,3,11
4,5,17,500g_1kg,2,8
4,3,12,500g_1kg,1,7
5,3,5,500g_1kg,0,10
4,2,10,250g_500g,1,6
4,3,13,500g_1kg,1,8
4,5,4,500g_1kg,0,12
5,5,16,500g_1kg,0,7
5,1,14,more_1kg,1,3
4,3,0,more_1kg,0,6
6,1,14,more_1kg,1,19
2,3,15,less_250g,0,9
5,3,30,500g_1kg,2,13
3,4,28,500g_1kg,3,10
1,4,10,250g_500g,0,4
4,4,13,250g_500g,0,12
5,4,12,250g_500g,0,9
3,1,21,less_250g,2,8
4,2,3,more_1kg,0,4
5,1,14,less_250g,0,12
4,4,10,250g_500g,3,14
5,1,10,250g_500g,1,6
2,4,28,250g_500g,1,8
4,1,8,less_250g,0,9
4,4,9,more_1kg,2,19
6,5,21,500g_1kg,2,3
4,1,5,more_1kg,2,7
4,5,10,less_250g,1,8
6,5,19,more_1kg,0,15
6,3,20,250g_500g,1,17
4,3,14,more_1kg,0,7
2,2,12,more_1kg,1,6
6,2,14,250g_500g,1,15
4,4,8,500g_1kg,1,2
2,2,15,250g_500g,1,3
2,2,0,more_1kg,1,12
3,3,30,more_1kg,3,10
2,4,10,250g_500g,1,7
4,3,25,less_250g,2,8
3,4,12,less_250g,1,4
3,3,23,500g_1kg,0,1
3,0,17,500g_1kg,0,11
4,3,20,more_1kg,0,2
1,4,3,250g_500g,1,15
3,4,18,more_1kg,1,10
3,5,8,500g_1kg,1,11
4,1,20,less_250g,1,0
5,3,23,250g_500g,2,1
4,2,14,less_250g,3,6
3,3,17,less_250g,0,4
4,3,30,less_250g,1,8
4,4,10,less_250g,2,4
3,4,4,250g_500g,2,4
5,4,14,500g_1kg,3,3
6,3,13,more_1kg,1,19
3,2,15,500g_1kg,3,9
4,1,15,less_250g,0,0
6,2,24,less_250g,0,11
4,5,7,less_250g,2,7
5,4,18,500g_1kg,1,6
2,6,26,250g_500g,0,8
4,2,27,250g_500g,0,4
3,6,28,500g_1kg,2,12
3,2,10,less_250g,1,7
3,4,15,more_1kg,2,4
5,5,14,more_1kg,0,11
3,3,20,500g_1kg,3,4
4,4,30,500g_1kg,1,10
4,3,13,500g_1kg,2,10
3,3,11,less_250g,0,11
6,5,8,250g_500g,1,8
6,2,1,250g_500g,3,13
3,5,9,more_1kg,0,14
2,3,21,500g_1kg,1,10
6,5,18,500g_1kg,1,2
6,2,10,less_250g,0,15
4,5,17,less_250g,1,0
5,4,25,more_1kg,1,7
5,2,30,more_1kg,1,4
5,3,18,500g_1kg,0,10
2,3,18,250g_500g,2,7
4,2,16,500g_1kg,1,6
5,0,11,250g_500g,1,10
2,3,18,250g_500g,1,8
5,3,30,more_1kg,1,4
5,2,23,250g_500g,1,5
4,1,10,500g_1kg,0,14
5,6,13,more_1kg,1,8
4,4,27,250g_500g,2,6
3,5,15,more_1kg,1,17
1,2,12,500g_1kg,1,11
4,4,15,500g_1kg,3,18
4,5,21,more_1kg,0,3
5,2,19,less_250g,0,12
4,3,12,250g_500g,1,7
4,3,9,500g_1kg,2,3
3,0,3,more_1kg,0,7
5,3,30,less_250g,1,11
4,2,22,250g_500g,2,14
6,5,19,250g_500g,1,2
5,2,16,less_250g,1,17
4,2,30,more_1kg,0,13
6,5,11,500g_1kg,0,7
2,2,25,500g_1kg,1,0
3,3,16,250g_500g,1,14
3,1,14,more_1kg,1,7
5,5,3,less_250g,2,4
2,3,25,less_250g,0,7
6,3,12,less_250g,2,10
6,2,14,more_1kg,0,11
4,4,6,less_250g,1,4
4,4,9,500g_1kg,0,10
6,4,28,500g_1kg,1,11
4,5,15,more_1kg,3,0
4,0,8,250g_500g,2,0
2,3,23,more_1kg,2,3
4,5,22,250g_500g,0,16
4,4,13,more_1kg,1,14
5,5,7,more_1kg,1,10
4,5,18,500g_1kg,0,9
3,5,20,less_250g,1,10
5,3,10,250g_500g,2,12
5,4,30,more_1kg,3,8
6,3,11,500g_1kg,1,8
4,2,2,more_1kg,1,7
3,0,21,250g_500g,1,6
4,5,24,250g_500g,2,6
4,4,5,more_1kg,0,10
5,3,7,500g_1kg,1,5
4,1,27,less_250g,3,14
3,5,8,more_1kg,0,11
6,4,17,less_250g,0,9
4,2,24,250g_500g,2,11
5,3,15,less_250g,2,17
3,2,16,less_250g,2,9
4,6,12,250g_500g,1,17
4,5,13,less_250g,2,13
4,1,28,more_1kg,1,12
2,2,17,250g_500g,1,14
6,4,22,250g_500g,1,4
4,2,28,250g_500g,0,0
6,3,20,less_250g,0,5
5,4,29,250g_500g,0,11
6,2,12,500g_1kg,3,10
4,3,8,less_250g,1,6
5,6,13,more_1kg,1,7
5,3,17,250g_500g,2,2
6,6,18,less_250g,2,12
6,4,20,more_1kg,0,2
6,3,8,250g_500g,1,12
4,2,6,more_1kg,0,0
6,2,8,more_1kg,2,9
6,3,10,500g_1kg,1,10
4,3,23,250g_500g,0,7
5,1,14,500g_1kg,1,4
6,4,9,500g_1kg,0,0
4,4,18,500g_1kg,1,16
6,4,3,more_1kg,2,8
5,5,12,less_250g,1,7
3,4,13,less_250g,2,12
4,3,25,250g_500g,2,8
3,3,8,500g_1kg,0,6
3,1,30,250g_500g,0,15
4,5,0,500g_1kg,1,14
4,3,15,more_1kg,1,12
3,4,11,more_1kg,1,9
3,0,17,less_250g,1,13
