month,bio_waste_adjusted_forecast,bio_waste_adjusted_ci_lower,bio_waste_adjusted_ci_upper,plastic_waste_adjusted_forecast,plastic_waste_adjusted_ci_lower,plastic_waste_adjusted_ci_upper,e_waste_adjusted_forecast,e_waste_adjusted_ci_lower,e_waste_adjusted_ci_upper
2029-07-31,0.307764,0.248186,0.367343,0.539473,0.473095,0.60585,0.162832,0.107775,0.217889
2029-08-31,0.372251,0.311865,0.432637,0.564474,0.49685,0.632097,0.219902,0.155674,0.28413
2029-09-30,0.358918,0.297931,0.419905,0.543203,0.475544,0.610862,0.17135,0.101872,0.240828
2029-10-31,0.342302,0.280866,0.403738,0.503324,0.435664,0.570984,0.167525,0.093845,0.241205
2029-11-30,0.330489,0.268717,0.39226,0.533767,0.466108,0.601425,0.182828,0.105357,0.260299
2029-12-31,0.336862,0.274839,0.398886,0.512781,0.445164,0.580398,0.17568,0.094647,0.256713
2030-01-31,0.390537,0.328339,0.452735,0.516682,0.450185,0.583179,0.182982,0.098552,0.267412
2030-02-28,0.328123,0.265786,0.39046,0.521174,0.454677,0.58767,0.228253,0.140561,0.315944
2030-03-31,0.35843,0.295988,0.420872,0.552789,0.486293,0.619286,0.19991,0.109076,0.290744
2030-04-30,0.367843,0.305322,0.430363,0.564697,0.4982,0.631193,0.209197,0.115326,0.303069
2030-05-31,0.365506,0.302927,0.428086,0.529214,0.462717,0.595711,0.221791,0.124977,0.318605
2030-06-30,0.266225,0.203601,0.32885,0.546923,0.480427,0.61342,0.177963,0.078294,0.277632
