month,bio_waste_monthly,plastic_waste_monthly,e_waste_monthly,total_monthly
2026-03,878.273,901.223,176.081,1955.577
2026-04,966.1,901.223,176.081,2043.405
2026-05,1053.928,901.223,195.646,2150.796
2026-06,922.187,901.223,195.646,2019.055
2026-07,834.359,946.284,195.646,1976.289
2026-08,790.446,946.284,195.646,1932.376
2026-09,878.273,991.345,176.081,2045.7
2026-10,878.273,946.284,176.081,2000.638
2026-11,834.359,901.223,195.646,1931.228
2026-12,878.273,901.223,215.21,1994.706
2027-01,966.1,991.345,234.775,2192.221
2027-02,1010.014,1081.468,273.904,2365.386
